label,pred,score
1,0.93876165,1
1,0.99540603,1
1,0.99717736,1
1,0.9985734,1
1,0.9944482,1
1,0.9947761,1
1,0.9947761,1
1,0.9996940999999999,1
1,0.9993879999999999,1
1,0.9997353999999999,1
1,0.9989825000000001,1
1,0.9919892,1
1,0.9968347,1
1,0.9980242,1
1,0.9963185999999999,1
1,0.99728215,1
1,0.99935895,1
1,0.8033264,1
1,0.96665376,1
1,0.9999998999999999,1
1,0.99047285,1
1,0.9970565,1
1,0.99629825,1
1,0.99915755,1
1,0.9985482,1
1,0.99756914,1
1,0.9958521,1
1,0.99897003,1
1,0.99892455,1
1,0.9983929,1
1,0.9985026,1
1,0.99920446,1
1,0.99899596,1
1,0.99839765,1
1,0.99898046,1
1,0.9990349000000001,1
1,0.99850416,1
1,0.9984962,1
1,0.9976483,1
1,0.9991085999999999,1
1,0.99788207,1
1,0.99843544,1
1,0.99779034,1
1,0.98957765,1
1,0.9986375,1
1,0.9989838,1
1,0.997999,1
1,0.9978254999999999,1
1,0.999008,1
1,0.997743,1
1,0.99874026,1
1,0.9976666,1
1,0.9929108,1
1,0.9952915999999999,1
1,0.99722594,1
1,0.99860185,1
1,0.99814177,1
1,0.99866974,1
1,0.9980882,1
1,0.99845433,1
1,0.99887687,1
1,0.9954816999999999,1
1,0.9895537,1
1,0.9850460999999999,1
1,0.9975509,1
1,0.9997941999999999,1
1,0.99316096,1
1,0.99735,1
1,0.99870193,1
1,0.99973303,1
1,0.9997671,1
1,0.9967891999999999,1
1,0.9880518,1
1,0.9789629000000001,1
1,0.9995838,1
1,0.9972133,1
1,0.9943514999999999,1
1,0.9986361999999999,1
1,0.9979531999999999,1
1,0.9990771999999999,1
1,0.9988181,1
1,0.9994023999999999,1
1,0.9999584999999999,1
1,0.9989215,1
1,0.9552337,1
1,0.99832636,1
1,0.995884,1
1,0.9980671,1
1,0.9985196,1
1,0.9973465,1
1,0.9969157,1
1,0.8711623,1
1,0.9996037,1
1,0.97179407,1
1,0.98498106,1
1,0.9963232,1
1,0.8675315999999998,1
1,0.9999290999999999,1
1,0.9932627,1
1,0.99327564,1
1,0.99893516,1
1,0.99994946,1
1,0.99373144,1
1,0.99455255,1
1,0.9926231,1
1,0.99023527,1
1,0.9471838,1
1,0.9951788,1
1,0.9884691999999999,1
1,0.9996395,1
1,0.9983181999999999,1
1,0.9995466000000001,1
1,0.99654764,1
1,0.9996940999999999,1
1,0.9937069,1
1,0.99751806,1
1,0.998872,1
1,0.992151,1
1,0.99830973,1
1,0.99886864,1
1,0.99938416,1
1,0.99937797,1
1,0.99803275,1
1,0.99737155,1
1,0.91827625,1
1,0.99621,1
1,0.9954438,1
1,0.97693825,1
1,0.98863214,1
1,0.9987341999999999,1
1,0.99993145,1
1,0.996505,1
1,0.99807477,1
1,0.96147543,1
1,0.9953451999999999,1
1,0.9998597,1
1,0.9800607,1
1,0.99714535,1
1,0.99699616,1
1,0.999548,1
1,0.9999459,1
1,0.9976185,1
1,0.9168126,1
1,0.9919178,1
1,0.99887115,1
1,0.9971004000000001,1
1,0.9924274,1
1,0.99796593,1
1,0.9986613999999999,1
1,0.9937209000000001,1
1,0.9995431999999999,1
1,0.99830604,1
1,0.99751925,1
1,0.9914402,1
1,0.9964594000000001,1
1,0.99992955,1
1,0.99679464,1
1,0.99805826,1
1,0.9977041999999999,1
1,0.9965419,1
1,0.9989863999999999,1
1,0.9868151,1
1,0.93671596,1
1,0.98545945,1
1,0.99799806,1
1,0.96424305,1
1,0.97646403,1
1,0.9989196,1
1,0.8614044,1
1,0.9972395000000001,1
1,0.9999324,1
1,0.99912494,1
1,0.99994445,1
1,0.9999391,1
1,0.99995685,1
1,0.9999285,1
1,0.9987562,1
1,0.99854577,1
1,0.9995709,1
1,0.9931385,1
1,0.99955934,1
1,0.9985569,1
1,0.99978715,1
1,0.9974566999999999,1
1,0.9995931999999998,1
1,0.99493176,1
1,0.9970482,1
1,0.99092335,1
1,0.99991727,1
1,0.9953434999999999,1
1,0.99988556,1
1,0.9945396999999999,1
1,0.9921578000000001,1
1,0.9990884,1
1,0.9997218000000001,1
1,0.98478657,1
1,0.9999125,1
1,0.99775887,1
1,0.9991013000000001,1
1,0.9950039,1
1,0.9998986999999999,1
1,0.9991099,1
1,0.99947816,1
1,0.976987,1
1,0.999899,1
1,0.99985135,1
1,0.99967015,1
1,0.99976546,1
1,0.9996018,1
1,0.9994956,1
1,0.9980379999999999,1
1,0.99988234,1
1,0.9533405999999999,1
1,0.9972856,1
1,0.9936619000000001,1
1,0.9973851,1
1,0.99915266,1
1,0.99875784,1
1,0.9982790000000001,1
1,0.9970129999999999,1
1,0.99900526,1
1,0.99919873,1
1,0.9975599,1
1,0.9890329999999999,1
1,0.99617445,1
1,0.9961488000000002,1
1,0.9996716,1
1,0.9999404000000001,1
1,0.9942735,1
1,0.9224167999999999,1
1,0.99411535,1
1,0.9532744000000001,1
1,0.8096306,1
1,0.9955415000000001,1
1,0.9663866,1
1,0.99561644,1
1,0.9949492,1
1,0.9997749,1
1,0.99456364,1
1,0.99977046,1
1,0.999959,1
1,0.98830706,1
1,0.9021749,1
1,0.99999917,1
1,0.99770087,1
1,0.9990614,1
1,0.99996746,1
1,0.92333335,1
1,0.9997780000000001,1
1,0.99915195,1
1,0.99991834,1
1,0.9999269000000001,1
1,0.9998995999999999,1
1,0.9735613000000001,1
1,0.99972326,1
1,0.9998771999999999,1
1,0.99501824,1
1,0.9968104,1
1,0.99947006,1
1,0.9986940000000001,1
1,0.9995628000000001,1
1,0.9990062,1
1,0.9999044,1
1,0.996851,1
1,0.9913721999999999,1
1,0.9961426999999999,1
1,0.99754745,1
1,0.9909648000000001,1
1,0.9999107,1
1,0.9997323,1
1,0.9719034,1
1,0.96594006,1
1,0.9955859,1
1,0.99456054,1
1,0.99995184,1
1,0.9964306999999999,1
1,0.99781334,1
1,0.99037737,1
1,0.9896465,1
1,0.99992657,1
1,0.9970899999999999,1
1,0.99810886,1
1,0.9984091999999999,1
1,0.9610801999999999,1
1,0.99867874,1
1,0.9986608,1
1,0.99992645,1
1,0.9618761999999998,1
1,0.9999733000000001,1
1,0.90931076,1
1,0.9990988000000001,1
1,0.9545553,1
1,0.99748886,1
1,0.90670913,1
1,0.994142,1
1,0.9988931000000001,1
1,0.95378286,1
1,0.9999324,1
1,0.99026734,1
1,0.9961972,1
1,0.99021393,1
1,0.99834883,1
1,0.8750793,1
1,0.9941677,1
1,0.9999728000000001,1
1,0.99348736,1
1,0.99198127,1
1,0.9927166,1
1,0.9997103999999999,1
1,0.9998386,1
1,0.9997305000000001,1
1,0.9997780000000001,1
1,0.99934715,1
1,0.9997469999999999,1
1,0.99978393,1
1,0.99988294,1
1,0.9912015,1
1,0.99947125,1
1,0.99867934,1
1,0.99836427,1
1,0.99836427,1
1,0.99782264,1
1,0.9991359000000001,1
1,0.9997669,1
1,0.9999461,1
1,0.9925729999999999,1
1,0.99374276,1
1,0.9826178,1
1,0.99920183,1
1,0.98784465,1
1,0.99527645,1
1,0.9933674000000001,1
1,0.9993038000000001,1
1,0.99837637,1
1,0.9925689,1
1,0.9983449000000001,1
1,0.99710387,1
1,0.9856058000000001,1
1,0.96262866,1
1,0.9968836,1
1,0.9993504999999999,1
1,0.9979406,1
1,0.9972549,1
1,0.9920396999999999,1
1,0.9915405999999999,1
1,0.9955603000000001,1
1,0.9949673000000001,1
1,0.9973091000000001,1
1,0.99945,1
1,0.998453,1
1,0.9997664,1
1,0.9990863999999999,1
1,0.87580943,1
1,0.9999491,1
1,0.9998056000000001,1
1,0.9999771000000001,1
1,0.99653184,1
1,0.997549,1
1,0.9989956,1
1,0.9997905999999999,1
1,0.9984784999999999,1
1,0.95315593,1
1,0.9995214,1
1,0.9421535,1
1,0.998547,1
1,0.99735296,1
1,0.99668485,1
1,0.9940189,1
1,0.9991605,1
1,0.99920315,1
1,0.9987814,1
1,0.9992747999999999,1
1,0.9998715,1
1,0.9995763000000001,1
1,0.9982327,1
1,0.9997124,1
1,0.9959440999999999,1
1,0.9998790000000001,1
1,0.9996315,1
1,0.9998134,1
1,0.99991226,1
1,0.99986446,1
1,0.9997358000000001,1
1,0.9998896,1
1,0.9993299000000001,1
1,0.99741215,1
1,0.9998233,1
1,0.88378215,1
1,0.97795343,1
1,0.9996662000000001,1
1,0.99981576,1
1,0.9996450000000001,1
1,0.9925598,1
1,0.9999707,1
1,0.9989065999999999,1
1,0.9963407,1
1,0.85653025,1
1,0.9979023000000001,1
1,0.99955684,1
1,0.9992736999999999,1
1,0.9988416999999999,1
1,0.9992943999999999,1
1,0.9984072,1
1,0.99712795,1
1,0.9979825000000001,1
1,0.99896157,1
1,0.9979494000000001,1
1,0.99890256,1
1,0.9981968000000001,1
1,0.9981527,1
1,0.9986519,1
1,0.99873406,1
1,0.9985428,1
1,0.99854726,1
1,0.99880326,1
1,0.9994628000000001,1
1,0.9990338,1
1,0.99778265,1
1,0.99588495,1
1,0.995218,1
1,0.997612,1
1,0.99999416,1
1,0.98675215,1
1,0.99922216,1
1,0.99968255,1
1,0.9997674999999999,1
1,0.9836695,1
1,0.99685574,1
1,0.99999714,1
1,0.99083155,1
1,0.9897876,1
1,0.97436464,1
1,0.99858296,1
1,0.99832827,1
1,0.99977535,1
1,0.9573402,1
1,0.99968886,1
1,0.9993799999999999,1
1,0.9989073,1
1,0.9894538,1
1,0.9988870000000001,1
1,0.9994726999999999,1
1,0.99692744,1
1,0.9700447,1
1,0.9859421999999999,1
1,0.93854004,1
1,0.98917234,1
1,0.9936486999999999,1
1,0.99963033,1
1,0.9989792,1
1,0.9666904000000001,1
1,0.9966280999999999,1
1,0.998276,1
1,0.99993134,1
1,0.9991841,1
1,0.9993161,1
1,0.99979955,1
1,0.99997544,1
1,0.9999515999999999,1
1,0.9997003000000001,1
1,0.98951834,1
1,0.9362431999999999,1
1,0.9915965,1
1,0.9997731,1
1,0.9999554,1
1,0.9999235999999999,1
1,0.93788505,1
1,0.9973568000000002,1
1,0.9999795,1
1,0.99808985,1
1,0.99834085,1
1,0.9952181999999999,1
1,0.9172232,1
1,0.9959537,1
1,0.9955858,1
1,0.99314123,1
1,0.9979044,1
1,0.9996494,1
1,0.9974306000000001,1
1,0.9799421,1
1,0.9949744,1
1,0.9925499,1
1,0.9959323,1
1,0.9992254,1
1,0.9971199000000001,1
1,0.99818903,1
1,0.99903536,1
1,0.9987046999999999,1
1,0.9495336999999999,1
1,0.99771225,1
1,0.99854773,1
1,0.9727728999999999,1
1,0.9904985999999999,1
1,0.9977792999999999,1
1,0.9998415999999999,1
1,0.9974789000000001,1
1,0.9988115,1
1,0.99897397,1
1,0.9992473,1
1,0.9991773000000002,1
1,0.97802085,1
1,0.99994886,1
1,0.9951728000000001,1
1,0.9985343000000001,1
1,0.8947833000000001,1
1,0.9999167999999999,1
1,0.9998184999999999,1
1,0.99977154,1
1,0.99995565,1
1,0.99987733,1
1,0.99922884,1
1,0.9996591999999999,1
1,0.9990558,1
1,0.9983223,1
1,0.9653709,1
1,0.949707,1
1,0.9994646999999999,1
1,0.99887854,1
1,0.99993694,1
1,0.9969169,1
1,0.97911835,1
1,0.99894136,1
1,0.9993794,1
1,0.99474007,1
1,0.98513424,1
1,0.99988043,1
1,0.9978829,1
1,0.97328556,1
1,0.99991524,1
1,0.96171004,1
1,0.99998987,1
1,0.99821943,1
1,0.99859565,1
1,0.99913675,1
1,0.99616337,1
1,0.99981576,1
1,0.9708392,1
1,0.9574773999999999,1
1,0.98916364,1
1,0.99821556,1
1,0.99818027,1
1,0.99154836,1
1,0.9971770000000001,1
1,0.99965477,1
1,0.9998023000000001,1
1,0.99703014,1
1,0.9974195,1
1,0.99763906,1
1,0.9999068000000001,1
1,0.9998869,1
1,0.99529356,1
1,0.99984074,1
1,0.99780446,1
1,0.9501761000000001,1
1,0.9330616,1
1,0.99916506,1
1,0.9951636999999999,1
1,0.99996424,1
1,0.9999950000000001,1
1,0.9999758,1
1,0.9988193999999999,1
1,0.9985109000000001,1
1,0.99890983,1
1,0.99697745,1
1,0.9977629000000001,1
1,0.99898976,1
1,0.9970607,1
1,0.9841113000000001,1
1,0.9978889999999999,1
1,0.9981542,1
1,0.9999020000000001,1
1,0.9998165999999999,1
1,0.9996649,1
1,0.9995695,1
1,0.9991911,1
1,0.98881835,1
1,0.9999708,1
1,0.997951,1
1,0.9050959000000001,1
1,0.947845,1
1,0.834139,1
1,0.85039556,1
1,0.99810493,1
1,0.9981242,1
1,0.9997265,1
1,0.99942774,1
1,0.9484066999999999,1
1,0.99536985,1
1,0.99736434,1
1,0.9983119,1
1,0.99994016,1
1,0.9220187,1
1,0.9961261,1
1,0.97471094,1
1,0.95420665,1
1,0.9994931,1
1,0.99862695,1
1,0.9976649,1
1,0.9994784,1
1,0.99968815,1
1,0.9912094000000001,1
1,0.99809533,1
1,0.9998184999999999,1
1,0.99933964,1
1,0.99741143,1
1,0.98774207,1
1,0.99867344,1
1,0.9970810999999999,1
1,0.978196,1
1,0.97958994,1
1,0.93749815,1
1,0.99872714,1
1,0.8566289,1
1,0.9417314,1
1,0.8838271000000001,1
1,0.9232739999999999,1
1,0.9313804,1
1,0.99818283,1
1,0.99718887,1
1,0.99475914,1
1,0.9962889000000001,1
1,0.98709106,1
1,0.99738187,1
1,0.9991253000000001,1
1,0.99827564,1
1,0.99563605,1
1,0.9859210999999999,1
1,0.9859124,1
1,0.9983822,1
1,0.999959,1
1,0.99862766,1
1,0.99412245,1
1,0.9928785,1
1,0.99986625,1
1,0.9974189,1
1,0.9992416999999999,1
1,0.99164903,1
1,0.9943709999999999,1
1,0.99998033,1
1,0.99558383,1
1,0.99404657,1
1,0.99984956,1
1,0.9856301,1
1,0.9989844000000001,1
1,0.99999833,1
1,0.99938345,1
1,0.99940836,1
