gene_id
gene=pknH_1
gene=fptA
gene=yueB
gene=glnH
gene=pfeA_4
gene=btuF
gene=pknB_8
gene=dgoT
gene=exuT_4
gene=livJ_2
gene=prkC
gene=clfB
gene=crp
gene=msmE_4
gene=hemR
gene=pfeA
gene=fhuA_10
gene=pcaK_2
gene=ffh_1
gene=artJ
gene=glnH_3
gene=pknL
gene=fepA
gene=garP
gene=exuT
gene=argT
gene=tdhA
gene=livJ
gene=flhF
gene=yjhB
gene=btuF_4
gene=pfeA_2
gene=glpT_2
gene=prkC_2
gene=lgoT
gene=gudP
gene=sspH2
gene=hgbA
gene=tbp1
gene=braC_9
gene=uhpT
gene=tar
gene=cirA_2
gene=aer_1
gene=glnM_2
gene=exuT_1
gene=fecA_2
gene=fcuA_3
gene=chvE
gene=yhjX
gene=glpT
gene=bfrD_2
gene=artI_1
gene=pgtP
gene=irtA_2
gene=fiu
gene=garP_2
gene=nusG
gene=fhuA_4
gene=gerAC
gene=pknA_3
gene=fhuA_3
gene=cah
gene=pknB_2
gene=trg
gene=fhuE
gene=braC_1
gene=tspO_2
gene=fpvA_7
gene=lgoT_3
gene=fepA_2
gene=btuB_1
gene=fcuA_5
gene=mepM
gene=cirA
gene=tcyA
gene=fliY
gene=pknB_4
gene=clfA
gene=artJ_2
gene=fpvA
gene=artP
gene=glnH_4
gene=hmuT
gene=gpFI
gene=fecA_1
gene=fepA_1
gene=bglH_4
gene=bfrD_4
gene=gudP_3
gene=crtK-2
gene=tetA
gene=hgpA
gene=smc
gene=ybhL_2
gene=prkC_12
gene=ffh
gene=exuT_3
gene=mhbT
gene=ftsY
gene=uhpC_3
gene=glbO
gene=walK
gene=fecA_3
gene=hemS
gene=artQ
gene=gap
gene=fhuA_5
gene=torT
gene=prc
gene=gpx1
gene=yiaO
gene=yccA
gene=fhuD_1
gene=livJ_1
gene=aer
gene=btuB
gene=fptA_4
gene=arcB
gene=bhuA
gene=cirA_5
gene=hemR_3
gene=artJ_1
gene=gudP_1
gene=comEA
gene=artI
gene=smc_1
gene=yckB
gene=pfeA_3
