label,pred
1,1.43E-14
1,0
1,0
1,0
1,8.64E-14
1,4.11E-15
1,4.11E-15
1,4.88E-11
1,0
1,0.9999234
1,0
1,0
1,0
1,0
1,1.05E-12
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,6.83E-22
1,1.20E-06
1,9.58E-08
1,1.91E-14
1,2.12E-08
1,5.09E-10
1,0.9999872
1,2.39E-12
1,1.59E-19
1,1.01E-13
1,1.23E-08
1,1.12E-09
1,2.75E-08
1,0.50546235
1,0.17176202
1,1.48E-10
1,0.997228
1,2.33E-05
1,4.05E-12
1,2.42E-06
1,1.43E-06
1,7.58E-12
1,6.93E-10
1,0.999988
1,9.87E-06
1,0.9999564
1,8.60E-11
1,1.66E-13
1,0.31702858
1,6.54E-23
1,1.14E-20
1,1.69E-14
1,1.79E-14
1,2.48E-08
1,1.44E-19
1,1.59E-11
1,5.03E-11
1,3.98E-09
1,1.59E-23
1,1.38E-05
1,0
1,1.39E-08
1,0.000164314
1,0.001309455
1,1.57E-08
1,2.53E-08
1,4.03E-06
1,0.99996203
1,0.9999911
1,3.57E-05
1,1.72E-10
1,3.77E-08
1,4.92E-12
1,0.6513616
1,1.22E-10
1,0.80561864
1,4.45E-08
1,7.27E-19
1,3.72E-10
1,0.9999884
1,1.04E-20
1,5.11E-05
1,0.8589382
1,0
1,0
1,6.07E-18
1,0
1,0
1,0.99975145
1,0.00030172
1,1.23E-09
1,4.84E-06
1,2.52E-14
1,0.9999688
1,4.61E-07
1,1.91E-09
1,0.9999489
1,0.9999266
1,8.47E-11
1,0.99992007
1,0.9999998
1,1.12E-08
1,6.80E-13
1,7.30E-15
1,5.84E-16
1,2.29E-12
1,3.06E-07
1,0.9974483
1,0.88895905
1,0.99929
1,4.34E-08
1,0.9962448
1,0.99737436
1,0.999773
