label,pred,score
1.0,0.99006954300226,1.0
1.0,1.0,1.0
1.0,0.9978386409714044,1.0
1.0,0.9330546146727182,1.0
1.0,0.8208317139560116,1.0
1.0,0.9370048988667844,1.0
1.0,0.9569415525872792,1.0
1.0,0.930300129239797,1.0
1.0,0.9435321867525296,1.0
1.0,0.928219816803769,1.0
1.0,0.9052800933365244,1.0
1.0,0.8831008523934107,1.0
1.0,0.9459418678590428,1.0
1.0,0.9687504038083364,1.0
1.0,0.9659156355370604,1.0
1.0,0.9851768633640008,1.0
1.0,0.9816713500715344,1.0
1.0,0.9591257177700316,1.0
1.0,0.9298377464185164,1.0
1.0,0.9750081781444372,1.0
1.0,0.9969364025484262,1.0
1.0,0.9591175703876949,1.0
1.0,0.9742917833151891,1.0
1.0,0.9686291949075014,1.0
1.0,0.9515943579454336,1.0
1.0,0.9408688634054148,1.0
1.0,0.9814150858642616,1.0
1.0,1.0,1.0
1.0,0.6854532382363402,1.0
1.0,0.7347000342222376,1.0
1.0,0.7038712496203131,1.0
1.0,0.6108810005306152,1.0
1.0,0.9603332510571682,1.0
1.0,0.9647980345819234,1.0
1.0,0.9352977686154732,1.0
1.0,0.46051029585240794,0.0
1.0,0.4543259725238526,0.0
1.0,0.2439127792314635,0.0
1.0,0.2380988160344049,0.0
1.0,0.2349922821191746,0.0
1.0,0.24642191363453425,0.0
1.0,0.2453572731978045,0.0
1.0,0.9209966747974786,1.0
1.0,0.9552649469342872,1.0
1.0,0.9360314996948196,1.0
1.0,0.9230823337294084,1.0
1.0,0.7429401776113898,1.0
1.0,0.8908222828509716,1.0
1.0,0.9354714886361412,1.0
1.0,0.9902312838542292,1.0
1.0,0.9974409712202854,1.0
1.0,0.9996175471017706,1.0
1.0,0.9379784407023614,1.0
1.0,0.8539632833024355,1.0
1.0,0.9457538283832052,1.0
1.0,0.9597372840668704,1.0
1.0,0.9376968547052263,1.0
1.0,0.980860220281894,1.0
1.0,0.9661810508114821,1.0
1.0,0.8462888732559247,1.0
1.0,0.6810966937315589,1.0
1.0,0.9108941441154808,1.0
1.0,0.9488520649866856,1.0
1.0,0.1976492184267576,0.0
1.0,0.19444643009124424,0.0
1.0,0.20251728000704103,0.0
