label,prob,pred
1,0.54382324,1
1,0.5516270999999999,1
1,0.66626316,1
1,0.5419361,1
1,0.61453456,1
1,0.61968833,1
1,0.61968833,1
1,0.6839937,1
1,0.04932477,0
1,0.79650503,1
1,0.78131837,1
1,0.7614795999999999,1
1,0.22263649,0
1,0.57913154,1
1,0.6169353,1
1,0.5032158,1
1,0.5550776999999999,1
1,0.5214983,1
1,0.5870258,1
1,0.56870615,1
1,0.5484934,1
1,0.53492206,1
1,0.5759249,1
1,0.5756765,1
1,0.58139735,1
1,0.5806774,1
1,0.58770704,1
1,0.57612556,1
1,0.56338775,1
1,0.5840384,1
1,0.58598405,1
1,0.58069915,1
1,0.56848663,1
1,0.5816954000000001,1
1,0.587162,1
1,0.5410732,1
1,0.57943875,1
1,0.60623014,1
1,0.5353144,1
1,0.5617247,1
1,0.57375467,1
1,0.5775235,1
1,0.56272495,1
1,0.58167636,1
1,0.5995243,1
1,0.5765020000000001,1
1,0.5996307,1
1,0.5283148,1
1,0.5862278000000001,1
1,0.5804057,1
1,0.5871604,1
1,0.57566535,1
1,0.5701713,1
1,0.5668731,1
1,0.5708576999999999,1
1,0.5958004,1
1,0.5636774999999999,1
1,0.5304143,1
1,0.5211425999999999,1
1,0.51693684,1
1,0.62734246,1
1,0.7678349,1
1,0.61596245,1
1,0.5787069,1
1,0.6164121,1
1,0.8833064,1
1,0.55224955,1
1,0.5377335,1
1,0.6120425,1
1,0.56876564,1
1,0.51646245,1
1,0.9084083000000001,1
1,0.7288495,1
1,0.8963823000000001,1
1,0.6127491999999999,1
1,0.77543056,1
1,0.58702826,1
1,0.54556173,1
1,0.59643114,1
1,0.56680536,1
1,0.59504247,1
1,0.5983506,1
1,0.56716156,1
1,0.57252103,1
1,0.53124917,1
1,0.8993718,1
1,0.53560007,1
1,0.75280064,1
1,0.5413561,1
1,0.7838279,1
1,0.78286606,1
1,0.6305272,1
1,0.679767,1
1,0.7589974,1
1,0.7919742,1
1,0.5878926999999999,1
1,0.5437871999999999,1
1,0.78755504,1
1,0.78960085,1
1,0.57288295,1
1,0.6760368,1
1,0.6856726,1
1,0.82519716,1
1,0.70037395,1
1,0.89259607,1
1,0.8895644,1
1,0.56230974,1
1,0.8216802,1
1,0.82445437,1
1,0.89994454,1
1,0.59527683,1
1,0.6189794,1
1,0.5139854,1
1,0.57035214,1
1,0.579769,1
1,0.58768314,1
1,0.5302553000000001,1
1,0.57062113,1
1,0.59606755,1
1,0.6186122,1
1,0.21170509999999998,0
1,0.6269446999999999,1
1,0.56794584,1
1,0.38381773,0
1,0.63788253,1
1,0.5827693,1
1,0.52123255,1
1,0.83843035,1
1,0.6589706,1
1,0.6153196999999999,1
1,0.5741963999999999,1
1,0.60090655,1
1,0.5070326,1
1,0.55502343,1
1,0.62822104,1
1,0.5699699,1
1,0.6037618,1
1,0.88865423,1
1,0.6958853,1
1,0.52705616,1
1,0.58976424,1
1,0.60448736,1
1,0.5101529,1
1,0.6864496999999999,1
1,0.60820043,1
1,0.56531006,1
1,0.5568724,1
1,0.57156026,1
1,0.58818537,1
1,0.5527563,1
1,0.51825833,1
1,0.5592573000000001,1
1,0.52911925,1
1,0.6132578000000001,1
1,0.5911028,1
1,0.554959,1
1,0.8945255,1
1,0.61738175,1
1,0.6139073,1
1,0.6025559,1
1,0.6166573000000001,1
1,0.6026423000000001,1
1,0.7236336,1
1,0.71214294,1
1,0.7180904,1
1,0.6783831,1
1,0.59136933,1
1,0.6393228,1
1,0.55575544,1
1,0.7412310999999999,1
1,0.53586066,1
1,0.7037514,1
1,0.5891924,1
1,0.5933771999999999,1
1,0.61957306,1
1,0.6256202,1
1,0.58963984,1
1,0.5301496,1
1,0.7047269,1
1,0.67904925,1
1,0.7231353,1
1,0.87672627,1
1,0.6212297,1
1,0.7121074000000001,1
1,0.91510606,1
1,0.88619465,1
1,0.6074679000000001,1
1,0.78915673,1
1,0.56222934,1
1,0.5967236,1
1,0.5889978,1
1,0.6020898,1
1,0.5525420999999999,1
1,0.7771529,1
1,0.52334946,1
1,0.5075582000000001,1
1,0.54621834,1
1,0.58991706,1
1,0.7354426,1
1,0.52907646,1
1,0.7148633000000001,1
1,0.7283323,1
1,0.51838416,1
1,0.90814173,1
1,0.68222463,1
1,0.52818173,1
1,0.5757395000000001,1
1,0.52662927,1
1,0.61877304,1
1,0.66203976,1
1,0.7307103,1
1,0.73948294,1
1,0.5263399999999999,1
1,0.72675204,1
1,0.7042724,1
1,0.71995753,1
1,0.89061743,1
1,0.8928599,1
1,0.7501342,1
1,0.89274937,1
1,0.7145199000000001,1
1,0.57609165,1
1,0.6059998000000001,1
1,0.59255314,1
1,0.6361965,1
1,0.5213898,1
1,0.6567538,1
1,0.6211038000000001,1
1,0.5290090999999999,1
1,0.82346666,1
1,0.76521254,1
1,0.69999856,1
1,0.7426581999999999,1
1,0.52388555,1
1,0.6725489,1
1,0.88613075,1
1,0.90766644,1
1,0.8921384,1
1,0.13285093,0
1,0.5659928000000001,1
1,0.90223515,1
1,0.5252422,1
1,0.70695335,1
1,0.53809035,1
1,0.5613497,1
1,0.5454653,1
1,0.83106345,1
1,0.5638064,1
1,0.59894484,1
1,0.5457976999999999,1
1,0.56750554,1
1,0.51415616,1
1,0.5840361,1
1,0.59414196,1
1,0.621866,1
1,0.53640175,1
1,0.6047539000000001,1
1,0.52841926,1
1,0.64362943,1
1,0.70328397,1
1,0.72505105,1
1,0.8898707,1
1,0.62708175,1
1,0.6286034,1
