label,prob
1,0.54382324
1,0.5516271
1,0.66626316
1,0.5419361
1,0.61453456
1,0.61968833
1,0.61968833
1,0.21052977
1,0.5102987
1,0.52714723
1,0.5666126
1,0.6839937
1,0.04932477
1,0.79650503
1,0.78131837
1,0.7614796
1,0.22263649
1,0.57913154
1,0.6169353
1,0.83544135
1,0.5032158
1,0.5550777
1,0.5214983
1,0.5870258
1,0.56870615
1,0.5484934
1,0.53492206
1,0.5759249
1,0.5756765
1,0.58139735
1,0.5806774
1,0.58770704
1,0.57612556
1,0.56338775
1,0.5840384
1,0.58598405
1,0.58069915
1,0.56848663
1,0.5816954
1,0.587162
1,0.5410732
1,0.57943875
1,0.60623014
1,0.5353144
1,0.5617247
1,0.57375467
1,0.5775235
1,0.56272495
1,0.58167636
1,0.5995243
1,0.576502
1,0.5996307
1,0.5283148
1,0.5862278
1,0.5804057
1,0.5871604
1,0.57566535
1,0.5701713
1,0.5668731
1,0.5708577
1,0.5958004
1,0.5636775
1,0.5304143
1,0.5211426
1,0.51693684
1,0.62734246
1,0.7678349
1,0.61596245
1,0.5787069
1,0.24971214
1,0.6164121
1,0.8833064
1,0.55224955
1,0.5377335
1,0.6120425
1,0.56876564
1,0.51646245
1,0.9084083
1,0.7288495
1,0.8963823
1,0.6077384
1,0.6127492
1,0.77543056
1,0.58702826
1,0.54556173
1,0.59643114
1,0.56680536
1,0.59504247
1,0.5983506
1,0.56716156
1,0.57252103
1,0.53124917
1,0.8993718
1,0.53560007
1,0.75280064
1,0.5413561
1,0.5375208
1,0.07576902
1,0.7838279
1,0.78286606
1,0.6305272
1,0.0644268
1,0.679767
1,0.7589974
1,0.7919742
1,0.5878927
1,0.5437872
1,0.78755504
1,0.78960085
1,0.57288295
1,0.6760368
1,0.6856726
1,0.82519716
1,0.21052977
1,0.70037395
1,0.89259607
1,0.8895644
1,0.56230974
1,0.8216802
1,0.82445437
1,0.89994454
1,0.59527683
1,0.6189794
1,0.5139854
1,0.57035214
1,0.579769
1,0.58768314
1,0.5302553
1,0.57062113
1,0.59606755
1,0.6186122
1,0.2117051
1,0.6269447
1,0.56794584
1,0.38381773
1,0.6509959
1,0.63788253
1,0.5827693
1,0.52123255
1,0.83843035
1,0.6589706
1,0.6153197
1,0.5503349
1,0.5741964
1,0.6039345
1,0.60090655
1,0.5070326
1,0.55502343
1,0.62822104
1,0.5699699
1,0.6037618
1,0.88865423
1,0.6958853
1,0.52705616
1,0.5137542
1,0.019055767
1,0.58976424
1,0.60448736
1,0.5101529
1,0.6864497
1,0.60820043
1,0.56531006
1,0.5568724
1,0.57156026
1,0.58818537
1,0.5527563
1,0.51825833
1,0.7560553
1,0.5592573
1,0.52911925
1,0.061647233
1,0.54822946
1,0.7304745
1,0.70490724
1,0.7342138
1,0.71391803
1,0.6132578
1,0.5911028
1,0.6832988
1,0.554959
1,0.8945255
1,0.61738175
1,0.33069497
1,0.6139073
1,0.6025559
1,0.6166573
1,0.6026423
1,0.7236336
1,0.71214294
1,0.7180904
1,0.6783831
1,0.59136933
1,0.6393228
1,0.55575544
1,0.7412311
1,0.53586066
1,0.7037514
1,0.5891924
1,0.5933772
1,0.61957306
1,0.6256202
1,0.58963984
1,0.5462672
1,0.5301496
1,0.7047269
1,0.67904925
1,0.5451983
1,0.7231353
1,0.5511369
1,0.5485813
1,0.87672627
1,0.6212297
1,0.38697416
1,0.7121074
1,0.91510606
1,0.88619465
1,0.54004157
1,0.6074679
1,0.78915673
1,0.56222934
1,0.5967236
1,0.5889978
1,0.1616065
1,0.09665515
1,0.6020898
1,0.5525421
1,0.5264508
1,0.6787144
1,0.7771529
1,0.52334946
1,0.5075582
1,0.54621834
1,0.58991706
1,0.7354426
1,0.52907646
1,0.7148633
1,0.7283323
1,0.5152691
1,0.51838416
1,0.55635446
1,0.90814173
1,0.68222463
1,0.52818173
1,0.5757395
1,0.540661
1,0.5259875
1,0.7098093
1,0.52662927
1,0.5297253
1,0.61877304
1,0.66203976
1,0.7307103
1,0.73948294
1,0.52634
1,0.72675204
1,0.7042724
1,0.71995753
1,0.89061743
1,0.85855764
1,0.8928599
1,0.7501342
1,0.89274937
1,0.7145199
1,0.57609165
1,0.6059998
1,0.59255314
1,0.6361965
1,0.5213898
1,0.6038895
1,0.6567538
1,0.6211038
1,0.5290091
1,0.82346666
1,0.76521254
1,0.69999856
1,0.7426582
1,0.6440152
1,0.52388555
1,0.6725489
1,0.6720024
1,0.88613075
1,0.90766644
1,0.8921384
1,0.13285093
1,0.5659928
1,0.90223515
1,0.6233348
1,0.5252422
1,0.70695335
1,0.53809035
1,0.5613497
1,0.5454653
1,0.83106345
1,0.5638064
1,0.59894484
1,0.57483095
1,0.5457977
1,0.5946965
1,0.56750554
1,0.51415616
1,0.5086505
1,0.5840361
1,0.57022804
1,0.59414196
1,0.621866
1,0.53640175
1,0.6047539
1,0.52841926
1,0.6082551
1,0.64362943
1,0.70328397
1,0.72505105
1,0.8898707
1,0.62708175
1,0.6286034
1,0.70055497
1,0.23628768
1,0.60465217
1,0.45936814
1,0.52791935
1,0.52791935
1,0.66270304
1,0.88743323
1,0.81985694
1,0.6776973
1,0.59222245
1,0.6095945
1,0.5137701
1,0.61257356
1,0.5411109
1,0.42148727
1,0.5466452
1,0.55579704
1,0.4072162
1,0.69630927
1,0.5396802
1,0.6415296
1,0.54236776
1,0.51197696
1,0.5367552
1,0.609775
1,0.89999163
1,0.6039861
1,0.655592
1,0.6054713
1,0.6209403
1,0.66245896
1,0.62270623
1,0.6021709
1,0.753231
1,0.38039505
1,0.6429422
1,0.5399253
1,0.59192514
1,0.4464174
1,0.85401464
1,0.78297967
1,0.7504359
1,0.9059283
1,0.70617574
1,0.5235991
1,0.5314778
1,0.5389244
1,0.5249951
1,0.77578837
1,0.678239
1,0.75522304
1,0.45416838
1,0.5263653
1,0.525724
1,0.5654605
1,0.54796135
1,0.55933964
1,0.5672777
1,0.57286155
1,0.5760644
1,0.5781446
1,0.5852205
1,0.58702314
1,0.54764223
1,0.57197154
1,0.58236223
1,0.42967123
1,0.48022497
1,0.57388383
1,0.7045291
1,0.614043
1,0.5786918
1,0.5721322
1,0.73216355
1,0.5657063
1,0.61630696
1,0.5316318
1,0.73225296
1,0.89954096
1,0.75625575
1,0.5468595
1,0.8824302
1,0.88829505
1,0.8883247
1,0.89454114
1,0.89992446
1,0.8896915
1,0.90810114
1,0.8938588
1,0.90991163
1,0.906315
1,0.8916851
1,0.86205596
1,0.8878683
1,0.8958378
1,0.88819814
1,0.88197136
1,0.8972881
1,0.8856862
1,0.8914109
1,0.8946777
1,0.8791236
1,0.6019682
1,0.51462734
