phage_id,host_id,label,prob
JF974294,NZ_CP026219,1,0.93207264
JQ312117,NC_015508,1,0.7257541000000001
NC_021068,NC_006840,1,0.985657
HG428758,NZ_CP016980,1,0.9372226
JF773396,NC_022793,1,0.8235703999999999
NC_019550,NC_022793,1,0.59445435
HQ377373,NC_022793,1,0.59445435
JQ867100,NC_009654,1,0.8631867
AY940168,NZ_CP007753,1,0.9931142
KC542353,NZ_CP013188,1,0.9647181999999999
JF974296,NZ_CP022523,1,0.95135945
HM588722,NZ_CP022523,1,0.69889176
JF974295,NC_021662,1,0.42598158
JF974308,NZ_CP017784,1,0.13834092
JF974307,NZ_CP015043,1,0.7790552
HQ317387,NZ_CP018081,1,0.27315608
FJ591094,NZ_CP018081,1,0.30464903
EF372997,NC_019681,1,0.04332055
GU071108,NC_019681,1,0.14926313
HQ634189,NC_019681,1,0.28219292
HQ634188,NC_019681,1,0.7494187
HQ634187,NC_019681,1,0.8638531999999999
HQ317291,NC_019681,1,0.36223483
HQ317290,NC_019681,1,0.19972607
HQ317385,NC_019681,1,0.23081958
JF974289,NC_019681,1,0.23081958
KF156339,NC_019681,1,0.08560385599999999
HQ317292,NC_019681,1,0.24847707
HQ634177,NC_019681,1,0.15913047
HQ634178,NC_019681,1,0.0667164
HQ317383,NC_019681,1,0.09194193
JF974288,NC_019681,1,0.23081958
JF974293,NC_019681,1,0.59287304
KF156338,NC_019681,1,0.38442335
KF156340,NC_019681,1,0.07360051599999999
HQ317389,NC_019681,1,0.45218915
HQ633071,NC_019681,1,0.08063258
AJ630128,NC_019681,1,0.1097031
AF338467,NC_019681,1,0.08906865
JF974292,NC_019681,1,0.53428996
GU071096,NC_019681,1,0.60173154
GU071097,NC_019681,1,0.5030395999999999
JQ245707,NC_019681,1,0.30661875
GU071106,NC_019681,1,0.68967795
GU071098,NC_019681,1,0.2597596
HQ316603,NC_019681,1,0.09499858
HQ317391,NC_019681,1,0.12143642
KC310806,NC_019681,1,0.12840171
GU071107,NC_019681,1,0.23060177
GU071105,NC_019681,1,0.5469626
HQ615693,NC_019681,1,0.40707308
GU071094,NC_019681,1,0.22547495
HQ634190,NC_019681,1,0.71147513
HQ634191,NC_019681,1,0.1067677
GU071095,NC_019681,1,0.33180016
HQ316583,NC_019681,1,0.11728322
HQ317388,NC_019681,1,0.6683241
HM480106,NC_019681,1,0.029996695
GU936715,NC_019681,1,0.0035687721999999996
GU936714,NC_019681,1,0.78992844
NC_005809,NZ_CP020649,1,0.92363256
NC_020479,NZ_AP014928,1,0.94258034
NC_021772,NZ_CP015923,1,0.35774195
NC_021782,NZ_CP015923,1,0.85904086
NC_022091,NZ_CP012584,1,0.78137094
NC_021801,NZ_CP026063,1,0.9997993000000001
NC_021776,NZ_CP013250,1,0.74182445
NC_019419,NZ_CP024888,1,0.37027544
NC_022746,NZ_CP012584,1,0.8517966999999999
NC_022747,NC_009457,1,0.5679868
NC_022749,NC_004851,1,0.99237823
NC_022758,NZ_CP026063,1,0.9229934000000001
NC_022791,NC_017591,1,0.9648926999999999
NC_021773,NZ_CP026063,1,0.97747463
