0
gene=smc_1
gene=lytB_1
gene=omp-alpha
gene=rpfE
gene=smc
protein=Exochitinase 1
gene=rpfC
gene=chiA1
gene=rpfD
gene=sleB
gene=gpFI
gene=rpfB
gene=iap
gene=inlA
gene=pls
gene=tfaE
gene=exo I
gene=mepM
gene=sbi
gene=mepS
gene=mltF
gene=lytB
gene=mepH
gene=xkdM
protein=Glycyl-glycine endopeptidase ALE-1
gene=pfbA
gene=mcp2
gene=yadA
gene=purS
gene=atl
gene=rpfA
gene=cbhB
gene=smc_2
gene=pgdS
gene=cwlO
protein=N-acetylmuramoyl-L-alanine amidase domain-containing protein
gene=lss_2
protein=D-alanyl-D-alanine carboxypeptidase
gene=clpP1
gene=cgkA
gene=lss
gene=bag
gene=mltD
gene=lytM
gene=ykfC
